videoId,dataset,channelName,title,publishedAt,category,primary_topic_id,primary_topic_keywords
--PcYIq6NRY,a_b,AfD-Fraktion Bundestag,"Rette sich, wer kann! - Rüdiger Lucassen - AfD-Fraktion im Bundestag",2021-06-26T13:00:00Z,other,18,"soldaten, bundeswehr, einsatz, streitkräfte, mali, verteidigung, soldat, guardian"
--ZH8U-YYLI,a_b,AfD-Fraktion Bundestag,"Herr Özdemir, diesen Irrsinn versteht niemand! - Peter Felser - AfD-Fraktion im Bundestag",2022-03-29T15:00:00Z,other,5,"russland, ukraine, krieg, russischen, russlanddeutschen, putin, bundesregierung, damen"
-06bZdDRceM,a_b,AfD-Fraktion Bundestag,"LIVE: AfD-Fraktion stellt Steuerreform zur Entlastung von Familien, Mittelstand und Unternehmen vor",2024-10-15T09:29:52Z,other,-1,outlier
-0JkT_LunoU,a_b,AfD-Fraktion Bundestag,Von wegen nachhaltig: Sie träumen eine Lebenslüge vom reichen 🇩🇪! Dr. Rainer Kraft - AfD-Fraktion BT,2023-10-12T13:00:00Z,other,-1,outlier
-0USHukz50M,a_b,AfD TV,"Jörg Meuthen zu Merkel-Rückzug: ""Sie sehen hier einen glücklichen Parteivorsitzenden""",2018-10-29T11:30:42Z,other,-1,outlier
-0YmCC9EpG4,a_b,AfD-Fraktion Bundestag,Die Unfähigkeit der Ampel hat die Lieferketten zerstört! Martin Reichardt - AfD-Fraktion Bundestag,2022-09-25T16:00:00Z,other,-1,outlier
-2G6AbEThSk,a_b,AfD-Fraktion Bundestag,LIVE: Pressestatement nach der Wahl der Kandidaten der AfD-Fraktion für die Ausschussvorsitze,2025-05-20T15:09:54Z,other,0,"natürlich, äh, ja, immer, mal, ganz, partei, ähm"
-2TdeVlLspE,a_b,AfD-Fraktion Bundestag,Götz Frömming zur selbst gemachten Bildungsmisere in Deutschland! - AfD-Fraktion im Bundestag,2023-09-29T16:00:00Z,other,30,"studiengebühren, schüler, schulen, lehrer, bildung, bayern, eltern, schülern"
-2yiWIo3lGE,a_b,AfD-Fraktion Bundestag,Der Corona-Hofnarr Lauterbach! - Stephan Brandner - AfD-Fraktion im Bundestag,2021-04-15T13:00:00Z,other,0,"natürlich, äh, ja, immer, mal, ganz, partei, ähm"
-3d-mT4xvww,a_b,AfD TV,❝Keine Politik mehr gegen die AfD!❞ | Björn Höcke,2019-10-26T19:23:22Z,other,23,"genoss, genossen, ergebnis, wahlkampf, liebe genoss, linke, äh, wahlergebnis"
-4W0V07rmKs,a_b,AfD TV,AfD rechnet mit den Altparteien ab: „Ihnen ist der Ernst der Lage immer noch nicht bewusst!“,2022-07-15T13:45:35Z,other,0,"natürlich, äh, ja, immer, mal, ganz, partei, ähm"
-4zcBXBJL8w,a_b,AfD TV,"Demoverbote, Entrechtung von Eltern, Mobbing im Internet: In welcher Verfassung ist die Verfassung?",2022-05-23T09:00:44Z,other,0,"natürlich, äh, ja, immer, mal, ganz, partei, ähm"
-54RcJ-3Lbk,a_b,AfD-Fraktion Bundestag,Dieses Gesetz ist für Spitzel und Denunzianten! Stephan Brandner- AfD-Fraktion im Bundestag,2023-05-14T07:00:00Z,other,0,"natürlich, äh, ja, immer, mal, ganz, partei, ähm"
-5WFft6Mrh4,a_b,AfD TV,"Minister ""Hoffentlich"" im Land der Energiewende",2023-03-29T14:49:10Z,other,0,"natürlich, äh, ja, immer, mal, ganz, partei, ähm"
-6BmOXnCbCQ,a_b,AfD-Fraktion Bundestag,Wir brauchen gut gemachte Gründerzentren! - Leif-Erik Holm - AfD-Fraktion im Bundestag,2018-10-19T07:34:05Z,other,-1,outlier
-7xrJwRWo5k,a_b,AfD-Fraktion Bundestag,AfD-Fraktion grillt Nancy Faeser! - Regierungsbefragung,2023-09-20T13:55:00Z,migration,1,"migranten, migration, flüchtlinge, deutschland, asyl, asylbewerber, grenzen, eu"
-8Cup6wT1Co,a_b,AfD-Fraktion Bundestag,💥Kay Gottschalk rechnet mit linken Steuerphantasien ab! AfD-Fraktion im Bundestag,2023-06-22T14:00:00Z,other,-1,outlier
-8DR9rdmA6Q,a_b,AfD-Fraktion Bundestag,"Sie sind die 
Hündchen der 
Regierung! - Bernd Baumann - AfD-Fraktion im Bundestag",2019-12-11T13:04:55Z,other,-1,outlier
-8u9kaTwn3Y,a_b,AfD-Fraktion Bundestag,Live: Online-Bürgerdialog mit unseren Abgeordneten Joana Cotar und Dr. Michael Espendiller,2021-03-02T17:56:08Z,other,-1,outlier
-95L_G2O2Qg,a_b,AfD-Fraktion Bundestag,Tino Chrupalla zerstört die bürgerfeindliche Bundesregierung komplett! AfD-Fraktion im Bundestag,2023-03-02T09:46:27Z,other,5,"russland, ukraine, krieg, russischen, russlanddeutschen, putin, bundesregierung, damen"
-9mTWfSPmPI,a_b,AfD TV,Das Einmaleins der Energiewende - ein Rücktritt wird nicht (g)reichen!,2023-05-22T11:44:10Z,other,0,"natürlich, äh, ja, immer, mal, ganz, partei, ähm"
-_S7wEVdYWs,a_b,AfD-Fraktion Bundestag,Die Lebenswelt unserer Gesellschaft verändert sich zum Schlechten! Tobias Peterka - AfD im Bundestag,2024-07-06T15:00:00Z,other,-1,outlier
-a0E4XyPdwI,a_b,AfD-Fraktion Bundestag,Gift für unsere Demokratie! - Fabian Jacobi - AfD-Fraktion im Bundestag,2021-02-02T12:00:02Z,other,-1,outlier
-aHoxaAW6Rg,a_b,AfD-Fraktion Bundestag,Hoffnung ist kein guter Berater! - Gerold Otten - AfD-Fraktion im Bundestag,2020-11-02T10:00:01Z,other,-1,outlier
-AiP-KXnY8E,a_b,AfD-Fraktion Bundestag,Deutschland muss in Europa verteidigt werden! Joachim Wundrak - AfD-Fraktion im Bundestag,2024-10-17T09:00:00Z,other,-1,outlier
-AMEmgduGm0,a_b,AfD-Fraktion Bundestag,Vermögensregister? Nicht mit uns! Kay Gottschalk - AfD-Fraktion im Bundestag,2024-07-11T15:00:00Z,other,-1,outlier
-aNl5vKbKGI,a_b,AfD TV,Von wegen „alte weiße Männer“: Diese jungen Leute stehen für die AfD!,2022-04-27T16:00:43Z,other,0,"natürlich, äh, ja, immer, mal, ganz, partei, ähm"
-aTC0k7E2k4,a_b,AfD TV,"Jung & Patriotisch: Kriegstreiberei, Ungarn-Bashing und massive Korruption!",2025-06-23T18:00:00Z,other,-1,outlier
-awgdteL6hA,a_b,AfD TV,Warum die FDP keine Alternative sein kann!,2021-07-11T16:00:00Z,other,0,"natürlich, äh, ja, immer, mal, ganz, partei, ähm"
-B2ZlG8NhPE,a_b,AfD-Fraktion Bundestag,Migrationspolitik - Ein Vergleich mit der japanischen Einwanderungspolitik-AfD-Fraktion im Bundestag,2021-07-22T20:46:03Z,other,-1,outlier
-BAAaXrgvIA,a_b,AfD-Fraktion Bundestag,"Hawala, Cum‑Ex, Warburg: Seit Jahren bekannt – aber keine Konsequenzen! Kay Gottschalk -AfD-Fraktion",2026-02-04T14:00:00Z,other,-1,outlier
-BCDk8q6KZ8,a_b,AfD-Fraktion Bundestag,Forschung und Wirtschaft brauchen Freiheit! - Götz Frömming - AfD-Fraktion im Bundestag,2019-06-27T15:00:24Z,other,0,"natürlich, äh, ja, immer, mal, ganz, partei, ähm"
-bDsobqeK4c,a_b,AfD-Fraktion Bundestag,Drückeberger-Syndrom? Klöckner will es nicht gewesen sein! Enrico Komning - AfD-Fraktion Bundestag,2022-04-30T12:00:00Z,other,-1,outlier
-BFp8peqx38,a_b,AfD TV,"Linksextreme ""Faktenchecker""",2021-06-24T11:00:00Z,other,0,"natürlich, äh, ja, immer, mal, ganz, partei, ähm"
-bgmgR-UfDQ,a_b,AfD-Fraktion Bundestag,BUNDESTAG LIVE - 210. Sitzung - AfD-Fraktion im Bundestag,2021-02-12T22:43:28Z,other,8,"kolleginnen, kollegen, kolleginnen kollegen, liebe kolleginnen, frau, fraktion, präsidentin, herr"
-BiMXOvIPAY,a_b,AfD TV,Diesen Wahnsinn werden die Altparteien weiterführen! #AfD #shorts,2024-08-27T12:47:58Z,migration,1,"migranten, migration, flüchtlinge, deutschland, asyl, asylbewerber, grenzen, eu"
-BP9knrC9IU,a_b,AfD TV,Siegbert Droese: „Die EU ist nicht reformierbar!“,2023-08-01T11:14:59Z,other,0,"natürlich, äh, ja, immer, mal, ganz, partei, ähm"
-BvYrzj7t8o,a_b,AfD-Fraktion Bundestag,"Wenn wir regieren, ist Links tatsächlich vorbei! - Dr. Michael Espendiller - AfD-Fraktion",2025-11-28T16:30:00Z,other,0,"natürlich, äh, ja, immer, mal, ganz, partei, ähm"
-BYnqq4OcJQ,a_b,AfD TV,+++ Die Bauern sind der Ampel im Weg. Wir stehen zur Landwirtschaft! +++,2024-01-12T17:00:00Z,other,0,"natürlich, äh, ja, immer, mal, ganz, partei, ähm"
-CnJ25-n1yg,a_b,AfD-Fraktion Bundestag,Karl Lauterbach bricht Wahlversprechen! Gereon Bollmann - AfD-Fraktion im Bundestag,2022-01-26T18:15:08Z,other,0,"natürlich, äh, ja, immer, mal, ganz, partei, ähm"
-cORUANwuX4,a_b,AfD TV,"Pressekonferenz - ""Flüchtlingswelle hinterlässt Spuren"" mit Alice Weidel und Alexander Gauland",2017-09-18T15:26:53Z,migration,11,"islam, muslime, islamismus, islamisten, islamischen, koran, allah, islamische"
-dGaDWcq3B0,a_b,AfD TV,300.000 Selbständige VERLOREN: Das ist alarmierend!,2022-01-31T11:00:36Z,other,0,"natürlich, äh, ja, immer, mal, ganz, partei, ähm"
-dl5JepjBqk,a_b,AfD-Fraktion Bundestag,Medienmanipulation: Wenn einem ARD-Redakteur die Wahrheit rausrutscht!,2019-07-02T09:58:14Z,other,-1,outlier
-DnOUYpWm7Y,a_b,AfD-Fraktion Bundestag,Die Torheit der Regierenden! - Albrecht Glaser - AfD-Fraktion im Bundestag,2019-09-13T10:51:55Z,other,-1,outlier
-DPPNU5JiAE,a_b,AfD-Fraktion Bundestag,Deutschland muss wieder selbstverteidigungsfähig werden! - Berengar Elsner von Gronow - AfD-Fraktion,2018-12-14T09:47:04Z,other,18,"soldaten, bundeswehr, einsatz, streitkräfte, mali, verteidigung, soldat, guardian"
-e1ag0sX--E,a_b,AfD-Fraktion Bundestag,Nur für die Grünen: Stephan Brandner versucht es mit einfacher Sprache! - AfD-Fraktion im Bundestag,2024-01-18T11:46:49Z,other,0,"natürlich, äh, ja, immer, mal, ganz, partei, ähm"
-efYR-NlhR8,a_b,AfD-Fraktion Bundestag,Linke NGOs wurden jahrelang am Steuerbusen der CDU genährt! - Stephan Brandner - AfD-Fraktion,2023-02-10T12:30:00Z,other,-1,outlier
-EHPBXPnk-I,a_b,AfD-Fraktion Bundestag,Der Antrag ist schizophren! - Dr. Rainer Kraft - AfD-Fraktion im Bundestag,2025-12-19T08:05:00Z,other,-1,outlier
-eLm37LK5hU,a_b,AfD-Fraktion Bundestag,Großteil des Crowdfunding geht mittlerweile in Immobilieninvestements! - Kay Gottschalk - AfD,2019-05-10T08:33:03Z,other,0,"natürlich, äh, ja, immer, mal, ganz, partei, ähm"
