VideoID,ThreadBin,Count,Percentage
-7xrJwRWo5k,Constructive,0,0.0
-7xrJwRWo5k,Slight/Neutral,3,20.0
-7xrJwRWo5k,Moderately Destructive,8,53.3
-7xrJwRWo5k,Highly Destructive,4,26.7
-Ok9PJi7ATk,Constructive,0,0.0
-Ok9PJi7ATk,Slight/Neutral,1,33.3
-Ok9PJi7ATk,Moderately Destructive,2,66.7
-Ok9PJi7ATk,Highly Destructive,0,0.0
-WR45SBhz3E,Constructive,0,0.0
-WR45SBhz3E,Slight/Neutral,0,0.0
-WR45SBhz3E,Moderately Destructive,0,0.0
-WR45SBhz3E,Highly Destructive,1,100.0
-esJ6h5GO10,Constructive,0,0.0
-esJ6h5GO10,Slight/Neutral,0,0.0
-esJ6h5GO10,Moderately Destructive,1,50.0
-esJ6h5GO10,Highly Destructive,1,50.0
-i1AoXHmZkY,Constructive,1,50.0
-i1AoXHmZkY,Slight/Neutral,1,50.0
-i1AoXHmZkY,Moderately Destructive,0,0.0
-i1AoXHmZkY,Highly Destructive,0,0.0
-jc4cfE7Mok,Constructive,1,11.1
-jc4cfE7Mok,Slight/Neutral,4,44.4
-jc4cfE7Mok,Moderately Destructive,1,11.1
-jc4cfE7Mok,Highly Destructive,3,33.3
-luBqJHu_XQ,Constructive,0,0.0
-luBqJHu_XQ,Slight/Neutral,1,50.0
-luBqJHu_XQ,Moderately Destructive,1,50.0
-luBqJHu_XQ,Highly Destructive,0,0.0
-y2Jkx1g-V4,Constructive,0,0.0
-y2Jkx1g-V4,Slight/Neutral,0,0.0
-y2Jkx1g-V4,Moderately Destructive,1,100.0
-y2Jkx1g-V4,Highly Destructive,0,0.0
0-w80-Wsrqw,Constructive,0,0.0
0-w80-Wsrqw,Slight/Neutral,0,0.0
0-w80-Wsrqw,Moderately Destructive,1,100.0
0-w80-Wsrqw,Highly Destructive,0,0.0
01s3uV7GKnU,Constructive,0,0.0
01s3uV7GKnU,Slight/Neutral,0,0.0
01s3uV7GKnU,Moderately Destructive,1,100.0
01s3uV7GKnU,Highly Destructive,0,0.0
03PxJ6gmfWo,Constructive,2,40.0
03PxJ6gmfWo,Slight/Neutral,2,40.0
03PxJ6gmfWo,Moderately Destructive,1,20.0
03PxJ6gmfWo,Highly Destructive,0,0.0
0AV90VZPCKA,Constructive,1,33.3
0AV90VZPCKA,Slight/Neutral,1,33.3
0AV90VZPCKA,Moderately Destructive,1,33.3
0AV90VZPCKA,Highly Destructive,0,0.0
0Cn_dUB5RYk,Constructive,2,66.7
0Cn_dUB5RYk,Slight/Neutral,0,0.0
0Cn_dUB5RYk,Moderately Destructive,1,33.3
0Cn_dUB5RYk,Highly Destructive,0,0.0
0LUqTNolVck,Constructive,0,0.0
0LUqTNolVck,Slight/Neutral,0,0.0
0LUqTNolVck,Moderately Destructive,1,100.0
0LUqTNolVck,Highly Destructive,0,0.0
0N1qQOL2GZA,Constructive,1,33.3
0N1qQOL2GZA,Slight/Neutral,0,0.0
0N1qQOL2GZA,Moderately Destructive,2,66.7
0N1qQOL2GZA,Highly Destructive,0,0.0
0VxmbG_rMbk,Constructive,0,0.0
0VxmbG_rMbk,Slight/Neutral,0,0.0
0VxmbG_rMbk,Moderately Destructive,2,100.0
0VxmbG_rMbk,Highly Destructive,0,0.0
0bqxQdi_e4U,Constructive,0,0.0
0bqxQdi_e4U,Slight/Neutral,0,0.0
0bqxQdi_e4U,Moderately Destructive,2,100.0
0bqxQdi_e4U,Highly Destructive,0,0.0
0g8nnp7tB70,Constructive,8,50.0
0g8nnp7tB70,Slight/Neutral,5,31.2
0g8nnp7tB70,Moderately Destructive,1,6.2
0g8nnp7tB70,Highly Destructive,2,12.5
0i2fzKpzEi8,Constructive,0,0.0
0i2fzKpzEi8,Slight/Neutral,0,0.0
0i2fzKpzEi8,Moderately Destructive,1,100.0
0i2fzKpzEi8,Highly Destructive,0,0.0
1LXVVvgEhRY,Constructive,0,0.0
1LXVVvgEhRY,Slight/Neutral,0,0.0
1LXVVvgEhRY,Moderately Destructive,1,100.0
1LXVVvgEhRY,Highly Destructive,0,0.0
1M0QdAIJSRs,Constructive,0,0.0
1M0QdAIJSRs,Slight/Neutral,1,50.0
1M0QdAIJSRs,Moderately Destructive,1,50.0
1M0QdAIJSRs,Highly Destructive,0,0.0
1Nyff2B3XzM,Constructive,7,53.8
1Nyff2B3XzM,Slight/Neutral,3,23.1
1Nyff2B3XzM,Moderately Destructive,0,0.0
1Nyff2B3XzM,Highly Destructive,3,23.1
1XsN8EaEnUU,Constructive,1,100.0
1XsN8EaEnUU,Slight/Neutral,0,0.0
1XsN8EaEnUU,Moderately Destructive,0,0.0
1XsN8EaEnUU,Highly Destructive,0,0.0
1b_fhIc9BCc,Constructive,0,0.0
1b_fhIc9BCc,Slight/Neutral,2,50.0
1b_fhIc9BCc,Moderately Destructive,2,50.0
1b_fhIc9BCc,Highly Destructive,0,0.0
1eUG3aYpHWY,Constructive,0,0.0
1eUG3aYpHWY,Slight/Neutral,5,45.5
1eUG3aYpHWY,Moderately Destructive,4,36.4
1eUG3aYpHWY,Highly Destructive,2,18.2
1fTtOArYl1Y,Constructive,0,0.0
1fTtOArYl1Y,Slight/Neutral,1,100.0
1fTtOArYl1Y,Moderately Destructive,0,0.0
1fTtOArYl1Y,Highly Destructive,0,0.0
1nHjEDLgPW0,Constructive,1,100.0
1nHjEDLgPW0,Slight/Neutral,0,0.0
1nHjEDLgPW0,Moderately Destructive,0,0.0
1nHjEDLgPW0,Highly Destructive,0,0.0
1y83BTCxccs,Constructive,12,54.5
1y83BTCxccs,Slight/Neutral,3,13.6
1y83BTCxccs,Moderately Destructive,6,27.3
1y83BTCxccs,Highly Destructive,1,4.5
22UZnhBPqHE,Constructive,0,0.0
22UZnhBPqHE,Slight/Neutral,0,0.0
22UZnhBPqHE,Moderately Destructive,2,100.0
22UZnhBPqHE,Highly Destructive,0,0.0
26XwmBX8_9U,Constructive,0,0.0
26XwmBX8_9U,Slight/Neutral,2,66.7
26XwmBX8_9U,Moderately Destructive,1,33.3
26XwmBX8_9U,Highly Destructive,0,0.0
27acPLs8As0,Constructive,3,50.0
27acPLs8As0,Slight/Neutral,1,16.7
27acPLs8As0,Moderately Destructive,1,16.7
27acPLs8As0,Highly Destructive,1,16.7
2E4s7MQUIFI,Constructive,5,9.8
2E4s7MQUIFI,Slight/Neutral,14,27.5
2E4s7MQUIFI,Moderately Destructive,21,41.2
2E4s7MQUIFI,Highly Destructive,11,21.6
2PnFPF1eHHc,Constructive,0,0.0
2PnFPF1eHHc,Slight/Neutral,0,0.0
2PnFPF1eHHc,Moderately Destructive,1,100.0
2PnFPF1eHHc,Highly Destructive,0,0.0
2_m413vlRzQ,Constructive,0,0.0
2_m413vlRzQ,Slight/Neutral,0,0.0
2_m413vlRzQ,Moderately Destructive,2,100.0
2_m413vlRzQ,Highly Destructive,0,0.0
2fSv493XzrY,Constructive,8,50.0
2fSv493XzrY,Slight/Neutral,5,31.2
2fSv493XzrY,Moderately Destructive,2,12.5
2fSv493XzrY,Highly Destructive,1,6.2
2lKEXxmX_es,Constructive,0,0.0
2lKEXxmX_es,Slight/Neutral,0,0.0
2lKEXxmX_es,Moderately Destructive,3,100.0
2lKEXxmX_es,Highly Destructive,0,0.0
2phCmkeczyg,Constructive,0,0.0
2phCmkeczyg,Slight/Neutral,0,0.0
2phCmkeczyg,Moderately Destructive,1,100.0
2phCmkeczyg,Highly Destructive,0,0.0
2ujz_neJiOA,Constructive,0,0.0
2ujz_neJiOA,Slight/Neutral,0,0.0
2ujz_neJiOA,Moderately Destructive,3,100.0
2ujz_neJiOA,Highly Destructive,0,0.0
38V1m4ggSHc,Constructive,0,0.0
38V1m4ggSHc,Slight/Neutral,1,50.0
38V1m4ggSHc,Moderately Destructive,1,50.0
38V1m4ggSHc,Highly Destructive,0,0.0
3JMwPtrmtZ4,Constructive,1,50.0
3JMwPtrmtZ4,Slight/Neutral,0,0.0
3JMwPtrmtZ4,Moderately Destructive,1,50.0
3JMwPtrmtZ4,Highly Destructive,0,0.0
3QbiaKtX-0M,Constructive,0,0.0
3QbiaKtX-0M,Slight/Neutral,0,0.0
3QbiaKtX-0M,Moderately Destructive,1,100.0
3QbiaKtX-0M,Highly Destructive,0,0.0
3bF58gWe1GA,Constructive,0,0.0
3bF58gWe1GA,Slight/Neutral,0,0.0
3bF58gWe1GA,Moderately Destructive,1,100.0
3bF58gWe1GA,Highly Destructive,0,0.0
3iiNSZperdI,Constructive,1,50.0
3iiNSZperdI,Slight/Neutral,0,0.0
3iiNSZperdI,Moderately Destructive,0,0.0
3iiNSZperdI,Highly Destructive,1,50.0
3mzru4MwbBs,Constructive,0,0.0
3mzru4MwbBs,Slight/Neutral,0,0.0
3mzru4MwbBs,Moderately Destructive,1,100.0
3mzru4MwbBs,Highly Destructive,0,0.0
3ny9cEJeF-A,Constructive,1,50.0
3ny9cEJeF-A,Slight/Neutral,0,0.0
3ny9cEJeF-A,Moderately Destructive,1,50.0
3ny9cEJeF-A,Highly Destructive,0,0.0
3vYdcpUeHec,Constructive,0,0.0
3vYdcpUeHec,Slight/Neutral,0,0.0
3vYdcpUeHec,Moderately Destructive,2,100.0
3vYdcpUeHec,Highly Destructive,0,0.0
3yoqzm26WCc,Constructive,0,0.0
3yoqzm26WCc,Slight/Neutral,0,0.0
3yoqzm26WCc,Moderately Destructive,3,75.0
3yoqzm26WCc,Highly Destructive,1,25.0
42Qh8NxHWPk,Constructive,0,0.0
42Qh8NxHWPk,Slight/Neutral,1,50.0
42Qh8NxHWPk,Moderately Destructive,1,50.0
42Qh8NxHWPk,Highly Destructive,0,0.0
44t2nepizco,Constructive,0,0.0
44t2nepizco,Slight/Neutral,1,100.0
44t2nepizco,Moderately Destructive,0,0.0
44t2nepizco,Highly Destructive,0,0.0
483ra5MLbUo,Constructive,0,0.0
483ra5MLbUo,Slight/Neutral,1,50.0
483ra5MLbUo,Moderately Destructive,1,50.0
483ra5MLbUo,Highly Destructive,0,0.0
4BUotae08yI,Constructive,1,50.0
4BUotae08yI,Slight/Neutral,0,0.0
4BUotae08yI,Moderately Destructive,1,50.0
4BUotae08yI,Highly Destructive,0,0.0
4V1-l47gOtE,Constructive,1,50.0
4V1-l47gOtE,Slight/Neutral,1,50.0
4V1-l47gOtE,Moderately Destructive,0,0.0
4V1-l47gOtE,Highly Destructive,0,0.0
4XzbKp5QMZQ,Constructive,0,0.0
4XzbKp5QMZQ,Slight/Neutral,0,0.0
4XzbKp5QMZQ,Moderately Destructive,3,100.0
4XzbKp5QMZQ,Highly Destructive,0,0.0
4dm3GOcq6Io,Constructive,0,0.0
4dm3GOcq6Io,Slight/Neutral,2,100.0
4dm3GOcq6Io,Moderately Destructive,0,0.0
4dm3GOcq6Io,Highly Destructive,0,0.0
4eI8XvYvN0s,Constructive,0,0.0
4eI8XvYvN0s,Slight/Neutral,1,20.0
4eI8XvYvN0s,Moderately Destructive,3,60.0
4eI8XvYvN0s,Highly Destructive,1,20.0
4oWNKOs5LiM,Constructive,3,15.8
4oWNKOs5LiM,Slight/Neutral,7,36.8
4oWNKOs5LiM,Moderately Destructive,7,36.8
4oWNKOs5LiM,Highly Destructive,2,10.5
561vf7Hnepc,Constructive,1,25.0
561vf7Hnepc,Slight/Neutral,0,0.0
561vf7Hnepc,Moderately Destructive,3,75.0
561vf7Hnepc,Highly Destructive,0,0.0
5Kmvq4q914U,Constructive,0,0.0
5Kmvq4q914U,Slight/Neutral,1,100.0
5Kmvq4q914U,Moderately Destructive,0,0.0
5Kmvq4q914U,Highly Destructive,0,0.0
5TFsplJkkKk,Constructive,0,0.0
5TFsplJkkKk,Slight/Neutral,0,0.0
5TFsplJkkKk,Moderately Destructive,5,83.3
5TFsplJkkKk,Highly Destructive,1,16.7
5hHkJeF77vY,Constructive,1,14.3
5hHkJeF77vY,Slight/Neutral,0,0.0
5hHkJeF77vY,Moderately Destructive,5,71.4
5hHkJeF77vY,Highly Destructive,1,14.3
5j7R4yvHk0g,Constructive,1,50.0
5j7R4yvHk0g,Slight/Neutral,1,50.0
5j7R4yvHk0g,Moderately Destructive,0,0.0
5j7R4yvHk0g,Highly Destructive,0,0.0
5xv44uRG700,Constructive,3,33.3
5xv44uRG700,Slight/Neutral,3,33.3
5xv44uRG700,Moderately Destructive,1,11.1
5xv44uRG700,Highly Destructive,2,22.2
6-j9bB_klfk,Constructive,3,37.5
6-j9bB_klfk,Slight/Neutral,2,25.0
