videoId,title,publishedAt,viewCount,likeCount,commentCount,duration,channelId,channelName,url
I6E0DgD2r38,Peinlich Ahnungslos! Linke ENTLARVT Verstörend Unwissende AfD!,2026-03-12T17:00:26Z,519,140,46,PT3M17S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=I6E0DgD2r38
IlptBt_YZd4,PROPAGANDA An Schulen! Linke vs. Bildungsministerin im Bundestag!,2026-03-12T14:00:36Z,573,163,39,PT3M,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=IlptBt_YZd4
JqnGG2G7FTk,KLARTEXT zur Tank-ABZOCKE: Dietmar BARTSCH bei Maischberger 🚨,2026-03-11T17:12:51Z,17145,1274,54,PT20S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=JqnGG2G7FTk
Bp2nNT4gN0I,"Gleichberechtigung gibt es nicht! Heidi Reichinnek, Ines Schwerdtner und Kathi Gebel zum 8. März",2026-03-11T17:00:28Z,1674,432,116,PT3M5S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=Bp2nNT4gN0I
Y-5u2GVEoZU,Er gibt dem Kanzler Nachhilfe in strategischem Denken,2026-03-11T14:00:51Z,859,171,33,PT2M56S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=Y-5u2GVEoZU
NL5pjcehXms,SCHULSTREIK! 💥 Schüler*innen FORDERN: Bundeswehr RAUS aus den SCHULEN! ✊,2026-03-10T17:34:56Z,9776,1254,155,PT1M11S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=NL5pjcehXms
2R-6iq3KLk0,Sie erklärt dem Bundestag Gleichberechtigung - doch sie wollen es nicht hören!,2026-03-10T17:00:10Z,8445,1321,345,PT3M38S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=2R-6iq3KLk0
4oWNKOs5LiM,Bro hält Rede im Bundestag - Regierung checkt nur Bahnhof,2026-03-10T14:00:08Z,8436,746,199,PT3M5S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=4oWNKOs5LiM
7U48Kci9bgs,SCHÜTZENGRABEN? Heidi REICHINNEK sagt: 𝙃𝙀𝙇𝙇 𝙉𝘼𝙃! 😮‍💨❌,2026-03-10T13:29:13Z,13761,1771,119,PT47S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=7U48Kci9bgs
Ro2lxwk3W-E,"Alle AfD-Fans in den EPSTEIN-Akten! Linker DECKT AUF, was Ihre Wähler nicht wissen sollen!",2026-03-09T18:15:29Z,11606,1406,216,PT4M39S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=Ro2lxwk3W-E
H8womcaPU2I,Leben als Frau vs. Leben als Mann! DARUM gibt es keine Gleichberechtigung!,2026-03-08T09:30:14Z,14821,1872,153,PT1M15S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=H8womcaPU2I
1uOSt5sUJJY,Epstein-Klasse schlägt im Bundestag zu - AfD wird von Linkem rasiert,2026-03-07T14:00:02Z,9553,1292,86,PT1M8S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=1uOSt5sUJJY
nvMw-TMMxsQ,Heidi Reichinnek ENTLARVT CDU-Bonzen! Merz arbeitet für Top 1 % des Landes!,2026-03-06T18:00:57Z,22182,2211,423,PT4M16S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=nvMw-TMMxsQ
15HstgrTkWU,Holen wir uns den Reichtum zurück!,2026-03-06T16:08:29Z,18334,2384,186,PT1M46S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=15HstgrTkWU
WFmK_h9keV4,Hysterische CDU ohne Argumente HETZT im Namen der Überreichen gegen Linken!,2026-03-06T15:30:23Z,15142,1354,249,PT5M44S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=WFmK_h9keV4
13H4TaQ66CU,Unfassbare Aussagen zum Bürgergeld🤡,2026-03-06T12:51:31Z,81762,3445,383,PT39S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=13H4TaQ66CU
zCUOwmRkGVM,"Faktenfreie Hetze einer Regierung, die ihre Bürger nicht mag - Geburt der neuen Grundsicherung",2026-03-05T19:21:24Z,8106,1150,63,PT56S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=zCUOwmRkGVM
_mCdXCGdMcE,Was die Abschaffung des Bürgergelds WIRKLICH Bedeutet! Linker REISST Den Vorhang RUNTER!,2026-03-05T19:00:40Z,3279,470,126,PT3M11S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=_mCdXCGdMcE
1_lWBVvcygk,Sozialarbeiterin RASIERT Merz Komplett! Linke Cansin Köktürk Räumt Mit LÜGEN Zum Bürgergeld Auf!,2026-03-05T17:00:05Z,14369,1606,242,PT3M25S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=1_lWBVvcygk
N4UiZzmAVGQ,"Linke muss Bildungsministerin erklären, wie man Demokratie vor der AfD schützt",2026-03-05T16:12:06Z,1654,292,48,PT3M27S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=N4UiZzmAVGQ
VYmPfFIB9sI,Schulstreik gegen Wehrpflicht im Bundestag!✊,2026-03-05T09:04:55Z,4620,710,145,PT43S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=VYmPfFIB9sI
bJ7v7RDHdY0,Ines Schwerdtner DEMONTIERT Merz komplett! Die BESTE REDE im Bundestag zu Iran!,2026-03-04T19:48:52Z,19803,1932,337,PT4M52S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=bJ7v7RDHdY0
GyeviMEaxF8,Schüler Spricht Klartext Im Bundestag!,2026-03-04T01:04:49Z,3832,435,151,PT15M52S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=GyeviMEaxF8
kVBHYoHIQxA,NEIN zur WEHRPFLICHT: Wir unterstützen den SCHULSTREIK! ✊,2026-03-03T17:26:36Z,5020,704,71,PT1M7S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=kVBHYoHIQxA
10OpetNrwFw,Finanz-Casino exposed von linker Abgeordneten! Bürger sollen Unternehmer-Risiken tragen!,2026-03-03T17:08:15Z,2502,315,69,PT3M24S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=10OpetNrwFw
FStbt0j7-9Q,"Drei Städte, dreimal EXPLODIERENDE Mieten: Jetzt checken mit unserer MIETWUCHER-App 💥🏙️",2026-03-03T13:51:41Z,4490,250,38,PT44S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=FStbt0j7-9Q
JofAaK6obVo,Überlebende sexueller Gewalt spricht im Bundestag zur Epstein-Affäre!,2026-03-02T17:00:26Z,57131,3603,722,PT5M44S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=JofAaK6obVo
CV8bo9lwcoQ,Auf frischer Tat ERTAPPT! Linker Mischt Bundestag Auf!,2026-03-01T14:00:26Z,6418,633,103,PT3M7S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=CV8bo9lwcoQ
oURqtT6xjoE,Innenministier Blamiert Sich! Live-Faktencheck von Linke-Abgeordnetem tut weh!,2026-02-28T17:01:17Z,3414,421,57,PT3M17S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=oURqtT6xjoE
gx3pwkwlkMU,AfD-Manöver fliegt auf! Das sollst du nicht wissen!,2026-02-28T14:01:07Z,13311,1255,286,PT4M53S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=gx3pwkwlkMU
xmLAzXR1Hgo,Einmal komplett durchschaut - Sie erklärt dem Bundestag das neue Heizungsgesetz,2026-02-27T17:01:40Z,6263,501,102,PT3M21S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=xmLAzXR1Hgo
QM8aRtgjpEo,Die Maske FÄLLT! Linke ENTLARVT Falsche Solidarität von Deutschland!,2026-02-27T14:00:50Z,803,176,35,PT2M,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=QM8aRtgjpEo
-i1AoXHmZkY,NEIN zu GEAS! ❌ Schutz für Geflüchtete statt Abschreckung!,2026-02-27T10:21:42Z,6841,809,77,PT50S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=-i1AoXHmZkY
BG5naMlnYvE,Lehrstunde im Bundestag - das wollten sie nicht hören,2026-02-26T17:00:30Z,2133,396,76,PT3M21S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=BG5naMlnYvE
4N2LsnC0le4,Sie checkt es - AfD regiert längst mit!,2026-02-26T14:00:09Z,10266,1029,235,PT3M30S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=4N2LsnC0le4
IiAXVKwat_4,"Bürger sollen Zeche zahlen! Kälte, Kita, Krieg - Die Lage Der Woche",2026-02-26T12:00:34Z,6172,769,127,PT10M23S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=IiAXVKwat_4
HwHC2KoyTzs,Kritik einfach weggeklagt! SLAPP: die Einschüchterungsindustrie der Reichsten,2026-02-25T18:06:13Z,40620,3679,185,PT1M12S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=HwHC2KoyTzs
5dcG5u-O39I,Korruption: AfD vs. Die Linke im Bundestag,2026-02-24T18:15:38Z,25495,1838,154,PT50S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=5dcG5u-O39I
6U0bV0aSogU,Merz Blamiert Sich! Linke Mit WAHRHEIT Im Bundestag!,2026-02-24T14:00:10Z,1927,286,39,PT3M1S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=6U0bV0aSogU
DB-aQa1HJuo,Er erklärt der CDU mal kurz was Konservativ bedeutet,2026-02-20T16:00:27Z,2697,410,69,PT2M9S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=DB-aQa1HJuo
qh6SmYmDfDM,"🙅 Noch ne Runde Merz? Nein, danke!",2026-02-20T13:54:39Z,12590,708,89,PT12S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=qh6SmYmDfDM
cci-3-sg4WU,24 jähriger spittet Facts - Bundestag eskaliert,2026-02-19T16:01:01Z,20440,1561,442,PT4M16S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=cci-3-sg4WU
aXxOFQIbWB0,ERINNERN heißt VERÄNDERN: HANAU war kein Einzelfall!,2026-02-19T08:07:30Z,6782,991,44,PT1M24S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=aXxOFQIbWB0
cvzAt15iJSA,Lehrstunde für AfD und ihre reichen Freunde,2026-02-18T16:01:00Z,6706,628,165,PT3M9S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=cvzAt15iJSA
TgeLEGGbl0w,Die 100.000.000.000 Euro Rede,2026-02-17T16:00:45Z,5667,712,112,PT3M20S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=TgeLEGGbl0w
OoOibiyLAQk,Jüngste Abgeordnete im Bundestag lässt CDU alt aussehen,2026-02-16T16:00:41Z,5571,738,131,PT3M15S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=OoOibiyLAQk
yrfMJ93fcSs,Sie erklärt der Regierung mal kurz was Klimaschutz bedeutet,2026-02-15T16:01:24Z,3255,409,76,PT2M25S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=yrfMJ93fcSs
De_jdNWJDOw,Bro hält Rede im Bundestag und Leute checken einfach,2026-02-14T16:00:19Z,30836,3385,471,PT2M59S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=De_jdNWJDOw
VrEnAgHBSOc,POV: Du hast die Idee des Jahrhunderts 😬,2026-02-12T16:42:21Z,32445,2167,246,PT42S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=VrEnAgHBSOc
FifsJZYLj8g,Wie man die AfD auseinander nimmt in 124 Sekunden,2026-02-12T16:00:31Z,7959,703,131,PT2M4S,UC9YkSoqkMLb1nOYKAHov8zQ,Die Linke im Bundestag,https://www.youtube.com/watch?v=FifsJZYLj8g
